InvoiceDate,Product,Category,UnitsSold,Revenue,PaymentMethod,CustomerSegment
2025-07-03,Daawat Rozana Rice (5kg),Grocery,14,6300,Card,Premium
2025-07-04,Daawat Rozana Rice (5kg),Grocery,17,7650,Cash,Premium
2025-07-05,Daawat Rozana Rice (5kg),Grocery,24,10800,Card,New
2025-07-06,Daawat Rozana Rice (5kg),Grocery,22,9900,Cash,Regular
2025-07-07,Daawat Rozana Rice (5kg),Grocery,15,6750,Cash,Premium
2025-07-08,Daawat Rozana Rice (5kg),Grocery,14,6300,Cash,New
2025-07-09,Daawat Rozana Rice (5kg),Grocery,12,5400,Card,New
2025-07-10,Daawat Rozana Rice (5kg),Grocery,11,4950,UPI,New
2025-07-11,Daawat Rozana Rice (5kg),Grocery,16,7200,Card,New
2025-07-12,Daawat Rozana Rice (5kg),Grocery,22,9900,Cash,New
2025-07-13,Daawat Rozana Rice (5kg),Grocery,22,9900,UPI,New
2025-07-14,Daawat Rozana Rice (5kg),Grocery,12,5400,Card,Premium
2025-07-15,Daawat Rozana Rice (5kg),Grocery,14,6300,Card,Premium
2025-07-16,Daawat Rozana Rice (5kg),Grocery,11,4950,Card,Premium
2025-07-17,Daawat Rozana Rice (5kg),Grocery,22,9900,UPI,New
2025-07-18,Daawat Rozana Rice (5kg),Grocery,13,5850,Cash,Premium
2025-07-19,Daawat Rozana Rice (5kg),Grocery,23,10350,Card,New
2025-07-20,Daawat Rozana Rice (5kg),Grocery,21,9450,UPI,Premium
2025-07-21,Daawat Rozana Rice (5kg),Grocery,15,6750,UPI,Regular
2025-07-22,Daawat Rozana Rice (5kg),Grocery,15,6750,UPI,New
2025-07-23,Daawat Rozana Rice (5kg),Grocery,19,8550,Card,Premium
2025-07-24,Daawat Rozana Rice (5kg),Grocery,14,6300,Cash,Premium
2025-07-25,Daawat Rozana Rice (5kg),Grocery,13,5850,Card,Premium
2025-07-26,Daawat Rozana Rice (5kg),Grocery,18,8100,Cash,New
2025-07-27,Daawat Rozana Rice (5kg),Grocery,25,11250,Cash,New
2025-07-28,Daawat Rozana Rice (5kg),Grocery,16,7200,Card,Premium
2025-07-29,Daawat Rozana Rice (5kg),Grocery,15,6750,Cash,Regular
2025-07-30,Daawat Rozana Rice (5kg),Grocery,16,7200,UPI,Regular
2025-07-31,Daawat Rozana Rice (5kg),Grocery,14,6300,Cash,New
2025-08-01,Daawat Rozana Rice (5kg),Grocery,13,5850,Card,New
2025-08-02,Daawat Rozana Rice (5kg),Grocery,16,7200,Card,Regular
2025-08-03,Daawat Rozana Rice (5kg),Grocery,21,9450,Cash,Regular
2025-08-04,Daawat Rozana Rice (5kg),Grocery,14,6300,Card,Regular
2025-08-05,Daawat Rozana Rice (5kg),Grocery,18,8100,Card,Regular
2025-08-06,Daawat Rozana Rice (5kg),Grocery,10,4500,Card,Regular
2025-08-07,Daawat Rozana Rice (5kg),Grocery,11,4950,Card,New
2025-08-08,Daawat Rozana Rice (5kg),Grocery,13,5850,UPI,New
2025-08-09,Daawat Rozana Rice (5kg),Grocery,21,9450,UPI,New
2025-08-10,Daawat Rozana Rice (5kg),Grocery,20,9000,UPI,Premium
2025-08-11,Daawat Rozana Rice (5kg),Grocery,17,7650,UPI,New
2025-08-12,Daawat Rozana Rice (5kg),Grocery,17,7650,UPI,Premium
2025-08-13,Daawat Rozana Rice (5kg),Grocery,41,18450,Cash,Regular
2025-08-14,Daawat Rozana Rice (5kg),Grocery,41,18450,Cash,New
2025-08-15,Daawat Rozana Rice (5kg),Grocery,43,19350,UPI,Premium
2025-08-16,Daawat Rozana Rice (5kg),Grocery,57,25650,Cash,Regular
2025-08-17,Daawat Rozana Rice (5kg),Grocery,60,27000,UPI,Regular
2025-08-18,Daawat Rozana Rice (5kg),Grocery,14,6300,UPI,New
2025-08-19,Daawat Rozana Rice (5kg),Grocery,11,4950,Card,New
2025-08-20,Daawat Rozana Rice (5kg),Grocery,13,5850,Cash,Regular
2025-08-21,Daawat Rozana Rice (5kg),Grocery,14,6300,Cash,Premium
2025-08-22,Daawat Rozana Rice (5kg),Grocery,11,4950,Card,Premium
2025-08-23,Daawat Rozana Rice (5kg),Grocery,19,8550,UPI,Premium
2025-08-24,Daawat Rozana Rice (5kg),Grocery,18,8100,Cash,New
2025-08-25,Daawat Rozana Rice (5kg),Grocery,15,6750,UPI,Regular
2025-08-26,Daawat Rozana Rice (5kg),Grocery,14,6300,UPI,Regular
2025-08-27,Daawat Rozana Rice (5kg),Grocery,13,5850,Cash,New
2025-08-28,Daawat Rozana Rice (5kg),Grocery,18,8100,Card,New
2025-08-29,Daawat Rozana Rice (5kg),Grocery,14,6300,Cash,Premium
2025-08-30,Daawat Rozana Rice (5kg),Grocery,19,8550,Card,New
2025-08-31,Daawat Rozana Rice (5kg),Grocery,17,7650,Cash,Premium
2025-09-01,Daawat Rozana Rice (5kg),Grocery,8,3600,Cash,Premium
2025-09-02,Daawat Rozana Rice (5kg),Grocery,17,7650,Card,Premium
2025-09-03,Daawat Rozana Rice (5kg),Grocery,13,5850,Cash,Regular
2025-09-04,Daawat Rozana Rice (5kg),Grocery,13,5850,Cash,New
2025-09-05,Daawat Rozana Rice (5kg),Grocery,15,6750,Cash,New
2025-09-06,Daawat Rozana Rice (5kg),Grocery,18,8100,Cash,Regular
2025-09-07,Daawat Rozana Rice (5kg),Grocery,21,9450,Cash,Regular
2025-09-08,Daawat Rozana Rice (5kg),Grocery,14,6300,Card,Premium
2025-09-09,Daawat Rozana Rice (5kg),Grocery,16,7200,UPI,Regular
2025-09-10,Daawat Rozana Rice (5kg),Grocery,12,5400,Cash,Premium
2025-09-11,Daawat Rozana Rice (5kg),Grocery,13,5850,UPI,Premium
2025-09-12,Daawat Rozana Rice (5kg),Grocery,18,8100,UPI,Regular
2025-09-13,Daawat Rozana Rice (5kg),Grocery,17,7650,UPI,Regular
2025-09-14,Daawat Rozana Rice (5kg),Grocery,21,9450,Cash,Premium
2025-09-15,Daawat Rozana Rice (5kg),Grocery,13,5850,Card,New
2025-09-16,Daawat Rozana Rice (5kg),Grocery,16,7200,Card,New
2025-09-17,Daawat Rozana Rice (5kg),Grocery,15,6750,Cash,Premium
2025-09-18,Daawat Rozana Rice (5kg),Grocery,10,4500,Card,New
2025-09-19,Daawat Rozana Rice (5kg),Grocery,17,7650,Card,Regular
2025-09-20,Daawat Rozana Rice (5kg),Grocery,19,8550,Card,Regular
2025-09-21,Daawat Rozana Rice (5kg),Grocery,22,9900,Cash,Regular
2025-09-22,Daawat Rozana Rice (5kg),Grocery,16,7200,Card,New
2025-09-23,Daawat Rozana Rice (5kg),Grocery,13,5850,Card,New
2025-09-24,Daawat Rozana Rice (5kg),Grocery,19,8550,Card,Premium
2025-09-25,Daawat Rozana Rice (5kg),Grocery,13,5850,Cash,Regular
2025-09-26,Daawat Rozana Rice (5kg),Grocery,11,4950,UPI,Premium
2025-09-27,Daawat Rozana Rice (5kg),Grocery,19,8550,Card,New
2025-09-28,Daawat Rozana Rice (5kg),Grocery,21,9450,UPI,Premium
2025-09-29,Daawat Rozana Rice (5kg),Grocery,15,6750,Card,Regular
2025-09-30,Daawat Rozana Rice (5kg),Grocery,13,5850,Card,Regular
2025-10-01,Daawat Rozana Rice (5kg),Grocery,14,6300,Card,Premium
2025-10-02,Daawat Rozana Rice (5kg),Grocery,13,5850,UPI,Regular
2025-10-03,Daawat Rozana Rice (5kg),Grocery,16,7200,Card,New
2025-10-04,Daawat Rozana Rice (5kg),Grocery,24,10800,Cash,Premium
2025-10-05,Daawat Rozana Rice (5kg),Grocery,20,9000,Card,New
2025-10-06,Daawat Rozana Rice (5kg),Grocery,15,6750,Cash,Regular
2025-10-07,Daawat Rozana Rice (5kg),Grocery,13,5850,Card,Premium
2025-10-08,Daawat Rozana Rice (5kg),Grocery,11,4950,Cash,Regular
2025-10-09,Daawat Rozana Rice (5kg),Grocery,14,6300,Cash,New
2025-10-10,Daawat Rozana Rice (5kg),Grocery,17,7650,Card,Premium
2025-10-11,Daawat Rozana Rice (5kg),Grocery,22,9900,Card,New
2025-10-12,Daawat Rozana Rice (5kg),Grocery,23,10350,Card,Regular
2025-10-13,Daawat Rozana Rice (5kg),Grocery,8,3600,UPI,Regular
2025-10-14,Daawat Rozana Rice (5kg),Grocery,18,8100,Card,New
2025-10-15,Daawat Rozana Rice (5kg),Grocery,13,5850,Card,Regular
2025-10-16,Daawat Rozana Rice (5kg),Grocery,10,4500,UPI,New
2025-10-17,Daawat Rozana Rice (5kg),Grocery,11,4950,Card,Regular
2025-10-18,Daawat Rozana Rice (5kg),Grocery,22,9900,Card,Premium
2025-10-19,Daawat Rozana Rice (5kg),Grocery,20,9000,UPI,Premium
2025-10-20,Daawat Rozana Rice (5kg),Grocery,15,6750,Card,New
2025-10-21,Daawat Rozana Rice (5kg),Grocery,13,5850,UPI,Premium
2025-10-22,Daawat Rozana Rice (5kg),Grocery,16,7200,UPI,New
2025-10-23,Daawat Rozana Rice (5kg),Grocery,12,5400,UPI,Premium
2025-10-24,Daawat Rozana Rice (5kg),Grocery,15,6750,Cash,Premium
2025-10-25,Daawat Rozana Rice (5kg),Grocery,20,9000,Card,Regular
2025-10-26,Daawat Rozana Rice (5kg),Grocery,22,9900,Card,Premium
2025-10-27,Daawat Rozana Rice (5kg),Grocery,16,7200,UPI,Premium
2025-10-28,Daawat Rozana Rice (5kg),Grocery,13,5850,UPI,Regular
2025-10-29,Daawat Rozana Rice (5kg),Grocery,15,6750,Card,Regular
2025-10-30,Daawat Rozana Rice (5kg),Grocery,14,6300,Card,Regular
2025-10-31,Daawat Rozana Rice (5kg),Grocery,15,6750,Card,New
2025-11-01,Daawat Rozana Rice (5kg),Grocery,21,9450,Cash,New
2025-11-02,Daawat Rozana Rice (5kg),Grocery,22,9900,Cash,Regular
2025-11-03,Daawat Rozana Rice (5kg),Grocery,16,7200,Card,Premium
2025-11-04,Daawat Rozana Rice (5kg),Grocery,17,7650,UPI,Premium
2025-11-05,Daawat Rozana Rice (5kg),Grocery,10,4500,UPI,Premium
2025-11-06,Daawat Rozana Rice (5kg),Grocery,14,6300,Cash,Premium
2025-11-07,Daawat Rozana Rice (5kg),Grocery,19,8550,Card,New
2025-11-08,Daawat Rozana Rice (5kg),Grocery,60,27000,UPI,Regular
2025-11-09,Daawat Rozana Rice (5kg),Grocery,60,27000,UPI,New
2025-11-10,Daawat Rozana Rice (5kg),Grocery,39,17550,Cash,Regular
2025-11-11,Daawat Rozana Rice (5kg),Grocery,40,18000,Card,Premium
2025-11-12,Daawat Rozana Rice (5kg),Grocery,42,18900,UPI,Premium
2025-11-13,Daawat Rozana Rice (5kg),Grocery,18,8100,Cash,Premium
2025-11-14,Daawat Rozana Rice (5kg),Grocery,15,6750,UPI,Regular
2025-11-15,Daawat Rozana Rice (5kg),Grocery,20,9000,UPI,Premium
2025-11-16,Daawat Rozana Rice (5kg),Grocery,20,9000,UPI,New
2025-11-17,Daawat Rozana Rice (5kg),Grocery,21,9450,Cash,New
2025-11-18,Daawat Rozana Rice (5kg),Grocery,12,5400,Cash,Premium
2025-11-19,Daawat Rozana Rice (5kg),Grocery,12,5400,UPI,Premium
2025-11-20,Daawat Rozana Rice (5kg),Grocery,11,4950,Cash,New
2025-11-21,Daawat Rozana Rice (5kg),Grocery,19,8550,Cash,New
2025-11-22,Daawat Rozana Rice (5kg),Grocery,21,9450,Card,Premium
2025-11-23,Daawat Rozana Rice (5kg),Grocery,20,9000,Card,Regular
2025-11-24,Daawat Rozana Rice (5kg),Grocery,16,7200,UPI,Regular
2025-11-25,Daawat Rozana Rice (5kg),Grocery,13,5850,Card,Premium
2025-11-26,Daawat Rozana Rice (5kg),Grocery,15,6750,Cash,Premium
2025-11-27,Daawat Rozana Rice (5kg),Grocery,15,6750,Cash,Premium
2025-11-28,Daawat Rozana Rice (5kg),Grocery,11,4950,UPI,Regular
2025-11-29,Daawat Rozana Rice (5kg),Grocery,19,8550,Card,New
2025-11-30,Daawat Rozana Rice (5kg),Grocery,18,8100,UPI,Regular
2025-12-01,Daawat Rozana Rice (5kg),Grocery,13,5850,UPI,Premium
2025-12-02,Daawat Rozana Rice (5kg),Grocery,17,7650,UPI,Premium
2025-12-03,Daawat Rozana Rice (5kg),Grocery,12,5400,Cash,Premium
2025-12-04,Daawat Rozana Rice (5kg),Grocery,13,5850,Cash,Regular
2025-12-05,Daawat Rozana Rice (5kg),Grocery,15,6750,Cash,Premium
2025-12-06,Daawat Rozana Rice (5kg),Grocery,24,10800,Cash,Regular
2025-12-07,Daawat Rozana Rice (5kg),Grocery,23,10350,Card,Premium
2025-12-08,Daawat Rozana Rice (5kg),Grocery,13,5850,Cash,Premium
2025-12-09,Daawat Rozana Rice (5kg),Grocery,15,6750,UPI,Premium
2025-12-10,Daawat Rozana Rice (5kg),Grocery,11,4950,Cash,New
2025-12-11,Daawat Rozana Rice (5kg),Grocery,16,7200,Cash,Regular
2025-12-12,Daawat Rozana Rice (5kg),Grocery,17,7650,Card,New
2025-12-13,Daawat Rozana Rice (5kg),Grocery,23,10350,UPI,New
2025-12-14,Daawat Rozana Rice (5kg),Grocery,19,8550,UPI,Premium
2025-12-15,Daawat Rozana Rice (5kg),Grocery,14,6300,UPI,Premium
2025-12-16,Daawat Rozana Rice (5kg),Grocery,15,6750,Cash,Premium
2025-12-17,Daawat Rozana Rice (5kg),Grocery,9,4050,Card,Premium
2025-12-18,Daawat Rozana Rice (5kg),Grocery,17,7650,Card,New
2025-12-19,Daawat Rozana Rice (5kg),Grocery,13,5850,Card,Premium
2025-12-20,Daawat Rozana Rice (5kg),Grocery,21,9450,UPI,Premium
2025-12-21,Daawat Rozana Rice (5kg),Grocery,21,9450,UPI,Regular
2025-12-22,Daawat Rozana Rice (5kg),Grocery,18,8100,UPI,Premium
2025-12-23,Daawat Rozana Rice (5kg),Grocery,41,18450,UPI,Regular
2025-12-24,Daawat Rozana Rice (5kg),Grocery,40,18000,Card,New
2025-12-25,Daawat Rozana Rice (5kg),Grocery,43,19350,Cash,New
2025-12-26,Daawat Rozana Rice (5kg),Grocery,42,18900,Card,Premium
2025-12-27,Daawat Rozana Rice (5kg),Grocery,59,26550,UPI,Premium
2025-12-28,Daawat Rozana Rice (5kg),Grocery,20,9000,Card,Premium
2025-12-29,Daawat Rozana Rice (5kg),Grocery,12,5400,Card,New
2025-12-30,Daawat Rozana Rice (5kg),Grocery,16,7200,Cash,New
2025-12-31,Daawat Rozana Rice (5kg),Grocery,14,6300,Card,Premium
2026-01-01,Daawat Rozana Rice (5kg),Grocery,13,5850,Card,Regular
2026-01-02,Daawat Rozana Rice (5kg),Grocery,16,7200,UPI,New
2026-01-03,Daawat Rozana Rice (5kg),Grocery,21,9450,Cash,Regular
2026-01-04,Daawat Rozana Rice (5kg),Grocery,18,8100,UPI,Premium
2026-01-05,Daawat Rozana Rice (5kg),Grocery,15,6750,UPI,Premium
2026-01-06,Daawat Rozana Rice (5kg),Grocery,15,6750,Cash,Regular
2026-01-07,Daawat Rozana Rice (5kg),Grocery,13,5850,Card,Regular
2026-01-08,Daawat Rozana Rice (5kg),Grocery,13,5850,Cash,Regular
2026-01-09,Daawat Rozana Rice (5kg),Grocery,16,7200,Cash,Premium
2026-01-10,Daawat Rozana Rice (5kg),Grocery,20,9000,Cash,Regular
2026-01-11,Daawat Rozana Rice (5kg),Grocery,20,9000,Card,Premium
2026-01-12,Daawat Rozana Rice (5kg),Grocery,19,8550,Card,Regular
2026-01-13,Daawat Rozana Rice (5kg),Grocery,17,7650,Card,Regular
2026-01-14,Daawat Rozana Rice (5kg),Grocery,13,5850,UPI,Premium
2026-01-15,Daawat Rozana Rice (5kg),Grocery,17,7650,Cash,Regular
2026-01-16,Daawat Rozana Rice (5kg),Grocery,12,5400,Card,Premium
2026-01-17,Daawat Rozana Rice (5kg),Grocery,21,9450,Cash,Regular
2026-01-18,Daawat Rozana Rice (5kg),Grocery,15,6750,Cash,Regular
2026-01-19,Daawat Rozana Rice (5kg),Grocery,14,6300,Card,New
2026-01-20,Daawat Rozana Rice (5kg),Grocery,12,5400,Card,Regular
2026-01-21,Daawat Rozana Rice (5kg),Grocery,18,8100,UPI,Premium
2026-01-22,Daawat Rozana Rice (5kg),Grocery,11,4950,Card,New
2026-01-23,Daawat Rozana Rice (5kg),Grocery,19,8550,Card,New
2026-01-24,Daawat Rozana Rice (5kg),Grocery,59,26550,UPI,Regular
2026-01-25,Daawat Rozana Rice (5kg),Grocery,58,26100,Cash,Regular
2026-01-26,Daawat Rozana Rice (5kg),Grocery,44,19800,Cash,Premium
2026-01-27,Daawat Rozana Rice (5kg),Grocery,43,19350,UPI,Regular
2026-01-28,Daawat Rozana Rice (5kg),Grocery,41,18450,Cash,Premium
2026-01-29,Daawat Rozana Rice (5kg),Grocery,16,7200,UPI,New
2026-01-30,Daawat Rozana Rice (5kg),Grocery,14,6300,UPI,Regular
2026-01-31,Daawat Rozana Rice (5kg),Grocery,22,9900,Cash,New
2026-02-01,Daawat Rozana Rice (5kg),Grocery,23,10350,UPI,New
2026-02-02,Daawat Rozana Rice (5kg),Grocery,10,4500,Card,Regular
2026-02-03,Daawat Rozana Rice (5kg),Grocery,13,5850,UPI,New
2026-02-04,Daawat Rozana Rice (5kg),Grocery,17,7650,UPI,New
2026-02-05,Daawat Rozana Rice (5kg),Grocery,20,9000,Card,Regular
2026-02-06,Daawat Rozana Rice (5kg),Grocery,17,7650,Card,New
2026-02-07,Daawat Rozana Rice (5kg),Grocery,20,9000,UPI,Premium
2026-02-08,Daawat Rozana Rice (5kg),Grocery,20,9000,Cash,Regular
2026-02-09,Daawat Rozana Rice (5kg),Grocery,12,5400,UPI,Premium
2026-02-10,Daawat Rozana Rice (5kg),Grocery,17,7650,Cash,Regular
2026-02-11,Daawat Rozana Rice (5kg),Grocery,11,4950,UPI,Premium
2026-02-12,Daawat Rozana Rice (5kg),Grocery,14,6300,Card,Premium
2026-02-13,Daawat Rozana Rice (5kg),Grocery,17,7650,Cash,New
2026-02-14,Daawat Rozana Rice (5kg),Grocery,21,9450,UPI,Premium
2026-02-15,Daawat Rozana Rice (5kg),Grocery,26,11700,UPI,Premium
2026-02-16,Daawat Rozana Rice (5kg),Grocery,14,6300,UPI,Regular
2026-02-17,Daawat Rozana Rice (5kg),Grocery,13,5850,UPI,Regular
2026-02-18,Daawat Rozana Rice (5kg),Grocery,16,7200,UPI,New
2026-02-19,Daawat Rozana Rice (5kg),Grocery,16,7200,UPI,Premium
2026-02-20,Daawat Rozana Rice (5kg),Grocery,14,6300,Cash,Premium
2026-02-21,Daawat Rozana Rice (5kg),Grocery,20,9000,Cash,Premium
2026-02-22,Daawat Rozana Rice (5kg),Grocery,20,9000,Cash,Premium
2026-02-23,Daawat Rozana Rice (5kg),Grocery,12,5400,Card,New
2026-02-24,Daawat Rozana Rice (5kg),Grocery,12,5400,Card,Premium
2026-02-25,Daawat Rozana Rice (5kg),Grocery,17,7650,Cash,New
2026-02-26,Daawat Rozana Rice (5kg),Grocery,13,5850,UPI,New
2026-02-27,Daawat Rozana Rice (5kg),Grocery,11,4950,UPI,Regular
2026-02-28,Daawat Rozana Rice (5kg),Grocery,23,10350,UPI,Regular
2026-03-01,Daawat Rozana Rice (5kg),Grocery,22,9900,UPI,Regular
2026-03-02,Daawat Rozana Rice (5kg),Grocery,13,5850,Card,Regular
2026-03-03,Daawat Rozana Rice (5kg),Grocery,14,6300,Card,Regular
2026-03-04,Daawat Rozana Rice (5kg),Grocery,18,8100,Cash,Premium
2026-03-05,Daawat Rozana Rice (5kg),Grocery,12,5400,Cash,Premium
2026-03-06,Daawat Rozana Rice (5kg),Grocery,12,5400,UPI,New
