date,store_location,category,product_name,sales,price,inventory_status,customer_rating
2025-06-29,Mumbai - Andheri,Dairy,Amul Milk (1L),77,107.09,High Demand,4.3
2025-06-30,Mumbai - Andheri,Dairy,Amul Milk (1L),60,143.2,In Stock,4.6
2025-07-01,Mumbai - Andheri,Dairy,Amul Milk (1L),79,345.72,Restocked,4.4
2025-07-02,Mumbai - Andheri,Dairy,Amul Milk (1L),72,35.97,Restocked,4.9
2025-07-03,Mumbai - Andheri,Dairy,Amul Milk (1L),71,249.56,High Demand,3.6
2025-07-04,Mumbai - Andheri,Dairy,Amul Milk (1L),75,431.68,Restocked,4.3
2025-07-05,Mumbai - Andheri,Dairy,Amul Milk (1L),95,118.28,High Demand,3.9
2025-07-06,Mumbai - Andheri,Dairy,Amul Milk (1L),84,34.28,Restocked,4.1
2025-07-07,Mumbai - Andheri,Dairy,Amul Milk (1L),65,446.86,In Stock,3.7
2025-07-08,Mumbai - Andheri,Dairy,Amul Milk (1L),54,102.92,High Demand,3.9
2025-07-09,Mumbai - Andheri,Dairy,Amul Milk (1L),56,380.67,High Demand,4.4
2025-07-10,Mumbai - Andheri,Dairy,Amul Milk (1L),55,257.81,Restocked,3.9
2025-07-11,Mumbai - Andheri,Dairy,Amul Milk (1L),52,385.85,In Stock,5.0
2025-07-12,Mumbai - Andheri,Dairy,Amul Milk (1L),76,35.2,In Stock,4.5
2025-07-13,Mumbai - Andheri,Dairy,Amul Milk (1L),85,116.7,High Demand,4.5
2025-07-14,Mumbai - Andheri,Dairy,Amul Milk (1L),53,28.34,In Stock,3.7
2025-07-15,Mumbai - Andheri,Dairy,Amul Milk (1L),65,336.79,High Demand,4.1
2025-07-16,Mumbai - Andheri,Dairy,Amul Milk (1L),56,314.04,In Stock,4.7
2025-07-17,Mumbai - Andheri,Dairy,Amul Milk (1L),60,225.53,High Demand,3.7
2025-07-18,Mumbai - Andheri,Dairy,Amul Milk (1L),60,219.9,Restocked,4.0
2025-07-19,Mumbai - Andheri,Dairy,Amul Milk (1L),86,234.6,High Demand,4.1
2025-07-20,Mumbai - Andheri,Dairy,Amul Milk (1L),91,255.3,In Stock,4.5
2025-07-21,Mumbai - Andheri,Dairy,Amul Milk (1L),54,327.74,High Demand,4.6
2025-07-22,Mumbai - Andheri,Dairy,Amul Milk (1L),52,277.89,In Stock,4.8
2025-07-23,Mumbai - Andheri,Dairy,Amul Milk (1L),62,266.94,In Stock,4.3
2025-07-24,Mumbai - Andheri,Dairy,Amul Milk (1L),64,466.91,Restocked,4.2
2025-07-25,Mumbai - Andheri,Dairy,Amul Milk (1L),60,164.91,High Demand,3.7
2025-07-26,Mumbai - Andheri,Dairy,Amul Milk (1L),78,217.3,High Demand,4.6
2025-07-27,Mumbai - Andheri,Dairy,Amul Milk (1L),90,191.23,High Demand,4.4
2025-07-28,Mumbai - Andheri,Dairy,Amul Milk (1L),58,435.57,In Stock,4.0
2025-07-29,Mumbai - Andheri,Dairy,Amul Milk (1L),60,312.01,High Demand,3.9
2025-07-30,Mumbai - Andheri,Dairy,Amul Milk (1L),56,259.58,Restocked,3.9
2025-07-31,Mumbai - Andheri,Dairy,Amul Milk (1L),50,370.92,Restocked,4.7
2025-08-01,Mumbai - Andheri,Dairy,Amul Milk (1L),74,327.22,Restocked,4.9
2025-08-02,Mumbai - Andheri,Dairy,Amul Milk (1L),105,461.65,In Stock,4.6
2025-08-03,Mumbai - Andheri,Dairy,Amul Milk (1L),113,470.35,High Demand,4.5
2025-08-04,Mumbai - Andheri,Dairy,Amul Milk (1L),77,162.74,In Stock,4.6
2025-08-05,Mumbai - Andheri,Dairy,Amul Milk (1L),80,438.71,Restocked,4.4
2025-08-06,Mumbai - Andheri,Dairy,Amul Milk (1L),57,69.41,In Stock,3.6
2025-08-07,Mumbai - Andheri,Dairy,Amul Milk (1L),67,376.29,Restocked,4.4
2025-08-08,Mumbai - Andheri,Dairy,Amul Milk (1L),61,293.28,Restocked,3.9
2025-08-09,Mumbai - Andheri,Dairy,Amul Milk (1L),88,102.06,In Stock,4.7
2025-08-10,Mumbai - Andheri,Dairy,Amul Milk (1L),83,124.22,Restocked,4.1
2025-08-11,Mumbai - Andheri,Dairy,Amul Milk (1L),63,493.27,High Demand,4.5
2025-08-12,Mumbai - Andheri,Dairy,Amul Milk (1L),152,316.68,High Demand,4.6
2025-08-13,Mumbai - Andheri,Dairy,Amul Milk (1L),150,281.23,Restocked,4.7
2025-08-14,Mumbai - Andheri,Dairy,Amul Milk (1L),152,433.9,Restocked,4.8
2025-08-15,Mumbai - Andheri,Dairy,Amul Milk (1L),153,153.03,In Stock,4.9
2025-08-16,Mumbai - Andheri,Dairy,Amul Milk (1L),216,218.56,Restocked,3.6
2025-08-17,Mumbai - Andheri,Dairy,Amul Milk (1L),212,161.24,High Demand,3.7
2025-08-18,Mumbai - Andheri,Dairy,Amul Milk (1L),146,464.27,High Demand,3.6
2025-08-19,Mumbai - Andheri,Dairy,Amul Milk (1L),58,439.97,High Demand,4.2
2025-08-20,Mumbai - Andheri,Dairy,Amul Milk (1L),54,401.29,Restocked,4.9
2025-08-21,Mumbai - Andheri,Dairy,Amul Milk (1L),50,467.69,Restocked,4.0
2025-08-22,Mumbai - Andheri,Dairy,Amul Milk (1L),52,100.1,High Demand,4.4
2025-08-23,Mumbai - Andheri,Dairy,Amul Milk (1L),81,216.35,Restocked,4.3
2025-08-24,Mumbai - Andheri,Dairy,Amul Milk (1L),82,168.74,In Stock,3.6
2025-08-25,Mumbai - Andheri,Dairy,Amul Milk (1L),58,96.6,High Demand,4.4
2025-08-26,Mumbai - Andheri,Dairy,Amul Milk (1L),58,145.68,Restocked,3.7
2025-08-27,Mumbai - Andheri,Dairy,Amul Milk (1L),59,166.77,High Demand,4.6
2025-08-28,Mumbai - Andheri,Dairy,Amul Milk (1L),60,42.19,High Demand,4.2
2025-08-29,Mumbai - Andheri,Dairy,Amul Milk (1L),60,111.35,High Demand,4.8
2025-08-30,Mumbai - Andheri,Dairy,Amul Milk (1L),82,426.28,High Demand,4.4
2025-08-31,Mumbai - Andheri,Dairy,Amul Milk (1L),90,454.56,In Stock,4.3
2025-09-01,Mumbai - Andheri,Dairy,Amul Milk (1L),72,369.1,In Stock,4.1
2025-09-02,Mumbai - Andheri,Dairy,Amul Milk (1L),78,305.52,High Demand,3.9
2025-09-03,Mumbai - Andheri,Dairy,Amul Milk (1L),69,93.85,Restocked,4.0
2025-09-04,Mumbai - Andheri,Dairy,Amul Milk (1L),73,494.52,High Demand,4.6
2025-09-05,Mumbai - Andheri,Dairy,Amul Milk (1L),79,98.63,High Demand,4.5
2025-09-06,Mumbai - Andheri,Dairy,Amul Milk (1L),86,427.63,Restocked,3.6
2025-09-07,Mumbai - Andheri,Dairy,Amul Milk (1L),76,496.59,Restocked,4.0
2025-09-08,Mumbai - Andheri,Dairy,Amul Milk (1L),61,485.3,Restocked,4.6
2025-09-09,Mumbai - Andheri,Dairy,Amul Milk (1L),53,465.55,Restocked,4.9
2025-09-10,Mumbai - Andheri,Dairy,Amul Milk (1L),58,302.66,Restocked,4.3
2025-09-11,Mumbai - Andheri,Dairy,Amul Milk (1L),64,68.57,High Demand,3.8
2025-09-12,Mumbai - Andheri,Dairy,Amul Milk (1L),63,128.26,In Stock,3.8
2025-09-13,Mumbai - Andheri,Dairy,Amul Milk (1L),74,450.97,In Stock,4.3
2025-09-14,Mumbai - Andheri,Dairy,Amul Milk (1L),85,171.44,High Demand,4.8
2025-09-15,Mumbai - Andheri,Dairy,Amul Milk (1L),62,168.39,Restocked,4.9
2025-09-16,Mumbai - Andheri,Dairy,Amul Milk (1L),64,94.7,High Demand,4.8
2025-09-17,Mumbai - Andheri,Dairy,Amul Milk (1L),59,261.67,High Demand,4.4
2025-09-18,Mumbai - Andheri,Dairy,Amul Milk (1L),65,164.39,In Stock,4.6
2025-09-19,Mumbai - Andheri,Dairy,Amul Milk (1L),64,394.15,Restocked,3.8
2025-09-20,Mumbai - Andheri,Dairy,Amul Milk (1L),91,267.04,Restocked,4.9
2025-09-21,Mumbai - Andheri,Dairy,Amul Milk (1L),88,166.58,In Stock,4.6
2025-09-22,Mumbai - Andheri,Dairy,Amul Milk (1L),73,139.29,Restocked,4.1
2025-09-23,Mumbai - Andheri,Dairy,Amul Milk (1L),58,458.01,In Stock,4.4
2025-09-24,Mumbai - Andheri,Dairy,Amul Milk (1L),61,61.97,High Demand,4.1
2025-09-25,Mumbai - Andheri,Dairy,Amul Milk (1L),55,105.87,In Stock,3.6
2025-09-26,Mumbai - Andheri,Dairy,Amul Milk (1L),71,128.11,Restocked,4.0
2025-09-27,Mumbai - Andheri,Dairy,Amul Milk (1L),89,241.29,High Demand,4.4
2025-09-28,Mumbai - Andheri,Dairy,Amul Milk (1L),85,373.47,Restocked,4.9
2025-09-29,Mumbai - Andheri,Dairy,Amul Milk (1L),66,452.95,In Stock,3.8
2025-09-30,Mumbai - Andheri,Dairy,Amul Milk (1L),53,77.65,In Stock,4.6
2025-10-01,Mumbai - Andheri,Dairy,Amul Milk (1L),75,240.65,In Stock,4.7
2025-10-02,Mumbai - Andheri,Dairy,Amul Milk (1L),85,85.56,Restocked,3.9
2025-10-03,Mumbai - Andheri,Dairy,Amul Milk (1L),79,387.35,Restocked,4.0
2025-10-04,Mumbai - Andheri,Dairy,Amul Milk (1L),106,164.56,In Stock,3.6
2025-10-05,Mumbai - Andheri,Dairy,Amul Milk (1L),113,226.84,High Demand,3.8
2025-10-06,Mumbai - Andheri,Dairy,Amul Milk (1L),63,31.1,Restocked,4.1
2025-10-07,Mumbai - Andheri,Dairy,Amul Milk (1L),62,193.62,High Demand,3.9
2025-10-08,Mumbai - Andheri,Dairy,Amul Milk (1L),67,220.21,Restocked,4.4
2025-10-09,Mumbai - Andheri,Dairy,Amul Milk (1L),65,174.66,Restocked,3.6
2025-10-10,Mumbai - Andheri,Dairy,Amul Milk (1L),69,454.0,High Demand,4.0
2025-10-11,Mumbai - Andheri,Dairy,Amul Milk (1L),92,284.81,High Demand,5.0
2025-10-12,Mumbai - Andheri,Dairy,Amul Milk (1L),93,97.64,Restocked,3.7
2025-10-13,Mumbai - Andheri,Dairy,Amul Milk (1L),55,140.94,Restocked,4.8
2025-10-14,Mumbai - Andheri,Dairy,Amul Milk (1L),62,434.26,High Demand,4.1
2025-10-15,Mumbai - Andheri,Dairy,Amul Milk (1L),53,323.15,High Demand,4.6
2025-10-16,Mumbai - Andheri,Dairy,Amul Milk (1L),66,104.6,High Demand,4.9
2025-10-17,Mumbai - Andheri,Dairy,Amul Milk (1L),66,328.44,Restocked,4.1
2025-10-18,Mumbai - Andheri,Dairy,Amul Milk (1L),91,309.09,In Stock,3.6
2025-10-19,Mumbai - Andheri,Dairy,Amul Milk (1L),89,273.24,In Stock,4.1
2025-10-20,Mumbai - Andheri,Dairy,Amul Milk (1L),60,227.26,In Stock,4.7
2025-10-21,Mumbai - Andheri,Dairy,Amul Milk (1L),63,25.33,Restocked,4.5
2025-10-22,Mumbai - Andheri,Dairy,Amul Milk (1L),207,205.22,High Demand,4.8
2025-10-23,Mumbai - Andheri,Dairy,Amul Milk (1L),224,464.97,Restocked,4.4
2025-10-24,Mumbai - Andheri,Dairy,Amul Milk (1L),228,203.69,Restocked,4.3
2025-10-25,Mumbai - Andheri,Dairy,Amul Milk (1L),313,278.42,High Demand,4.5
2025-10-26,Mumbai - Andheri,Dairy,Amul Milk (1L),307,395.39,Restocked,4.9
2025-10-27,Mumbai - Andheri,Dairy,Amul Milk (1L),217,392.31,Restocked,3.9
2025-10-28,Mumbai - Andheri,Dairy,Amul Milk (1L),225,452.86,In Stock,4.6
2025-10-29,Mumbai - Andheri,Dairy,Amul Milk (1L),61,101.16,Restocked,4.2
2025-10-30,Mumbai - Andheri,Dairy,Amul Milk (1L),73,400.79,High Demand,4.2
2025-10-31,Mumbai - Andheri,Dairy,Amul Milk (1L),57,119.79,High Demand,4.7
2025-11-01,Mumbai - Andheri,Dairy,Amul Milk (1L),112,495.93,Restocked,4.7
2025-11-02,Mumbai - Andheri,Dairy,Amul Milk (1L),116,339.01,Restocked,3.7
2025-11-03,Mumbai - Andheri,Dairy,Amul Milk (1L),78,411.91,Restocked,3.9
2025-11-04,Mumbai - Andheri,Dairy,Amul Milk (1L),84,156.32,Restocked,3.9
2025-11-05,Mumbai - Andheri,Dairy,Amul Milk (1L),65,395.61,High Demand,3.7
2025-11-06,Mumbai - Andheri,Dairy,Amul Milk (1L),65,48.46,Restocked,4.4
2025-11-07,Mumbai - Andheri,Dairy,Amul Milk (1L),66,473.86,High Demand,4.7
2025-11-08,Mumbai - Andheri,Dairy,Amul Milk (1L),96,316.62,In Stock,3.8
2025-11-09,Mumbai - Andheri,Dairy,Amul Milk (1L),95,45.95,High Demand,4.6
2025-11-10,Mumbai - Andheri,Dairy,Amul Milk (1L),62,186.28,Restocked,5.0
2025-11-11,Mumbai - Andheri,Dairy,Amul Milk (1L),59,201.63,High Demand,3.8
2025-11-12,Mumbai - Andheri,Dairy,Amul Milk (1L),59,333.6,In Stock,4.2
2025-11-13,Mumbai - Andheri,Dairy,Amul Milk (1L),56,470.9,High Demand,4.3
2025-11-14,Mumbai - Andheri,Dairy,Amul Milk (1L),69,25.33,In Stock,4.7
2025-11-15,Mumbai - Andheri,Dairy,Amul Milk (1L),88,69.41,In Stock,4.0
2025-11-16,Mumbai - Andheri,Dairy,Amul Milk (1L),81,386.39,Restocked,3.5
2025-11-17,Mumbai - Andheri,Dairy,Amul Milk (1L),66,443.1,In Stock,4.0
2025-11-18,Mumbai - Andheri,Dairy,Amul Milk (1L),56,164.53,Restocked,4.4
2025-11-19,Mumbai - Andheri,Dairy,Amul Milk (1L),62,286.91,In Stock,3.6
2025-11-20,Mumbai - Andheri,Dairy,Amul Milk (1L),70,482.21,Restocked,3.6
2025-11-21,Mumbai - Andheri,Dairy,Amul Milk (1L),70,454.2,Restocked,4.8
2025-11-22,Mumbai - Andheri,Dairy,Amul Milk (1L),88,290.53,High Demand,3.8
2025-11-23,Mumbai - Andheri,Dairy,Amul Milk (1L),82,195.02,High Demand,4.9
2025-11-24,Mumbai - Andheri,Dairy,Amul Milk (1L),65,333.01,High Demand,3.7
2025-11-25,Mumbai - Andheri,Dairy,Amul Milk (1L),55,64.85,High Demand,4.5
2025-11-26,Mumbai - Andheri,Dairy,Amul Milk (1L),54,324.38,High Demand,4.2
2025-11-27,Mumbai - Andheri,Dairy,Amul Milk (1L),61,64.85,Restocked,4.5
2025-11-28,Mumbai - Andheri,Dairy,Amul Milk (1L),65,251.04,High Demand,3.7
2025-11-29,Mumbai - Andheri,Dairy,Amul Milk (1L),87,209.13,Restocked,4.5
2025-11-30,Mumbai - Andheri,Dairy,Amul Milk (1L),85,461.73,High Demand,4.9
2025-12-01,Mumbai - Andheri,Dairy,Amul Milk (1L),74,56.2,High Demand,5.0
2025-12-02,Mumbai - Andheri,Dairy,Amul Milk (1L),85,243.33,In Stock,4.9
2025-12-03,Mumbai - Andheri,Dairy,Amul Milk (1L),85,367.72,High Demand,3.6
2025-12-04,Mumbai - Andheri,Dairy,Amul Milk (1L),93,255.64,High Demand,4.6
2025-12-05,Mumbai - Andheri,Dairy,Amul Milk (1L),73,307.27,High Demand,4.7
2025-12-06,Mumbai - Andheri,Dairy,Amul Milk (1L),85,256.98,Restocked,4.3
2025-12-07,Mumbai - Andheri,Dairy,Amul Milk (1L),97,249.75,Restocked,3.7
2025-12-08,Mumbai - Andheri,Dairy,Amul Milk (1L),63,422.89,High Demand,4.5
2025-12-09,Mumbai - Andheri,Dairy,Amul Milk (1L),59,133.2,High Demand,3.6
2025-12-10,Mumbai - Andheri,Dairy,Amul Milk (1L),72,440.98,High Demand,3.7
2025-12-11,Mumbai - Andheri,Dairy,Amul Milk (1L),68,140.11,High Demand,4.7
2025-12-12,Mumbai - Andheri,Dairy,Amul Milk (1L),80,421.49,Restocked,3.7
2025-12-13,Mumbai - Andheri,Dairy,Amul Milk (1L),97,52.87,In Stock,4.0
2025-12-14,Mumbai - Andheri,Dairy,Amul Milk (1L),90,363.8,High Demand,4.3
2025-12-15,Mumbai - Andheri,Dairy,Amul Milk (1L),61,248.84,High Demand,4.4
2025-12-16,Mumbai - Andheri,Dairy,Amul Milk (1L),63,251.36,Restocked,4.1
2025-12-17,Mumbai - Andheri,Dairy,Amul Milk (1L),61,40.92,Restocked,4.8
2025-12-18,Mumbai - Andheri,Dairy,Amul Milk (1L),65,283.26,In Stock,4.5
2025-12-19,Mumbai - Andheri,Dairy,Amul Milk (1L),71,276.4,Restocked,4.7
2025-12-20,Mumbai - Andheri,Dairy,Amul Milk (1L),103,56.07,In Stock,3.8
2025-12-21,Mumbai - Andheri,Dairy,Amul Milk (1L),97,372.02,High Demand,4.4
2025-12-22,Mumbai - Andheri,Dairy,Amul Milk (1L),115,198.44,In Stock,3.6
2025-12-23,Mumbai - Andheri,Dairy,Amul Milk (1L),126,447.83,Restocked,3.9
2025-12-24,Mumbai - Andheri,Dairy,Amul Milk (1L),119,408.21,High Demand,4.3
2025-12-25,Mumbai - Andheri,Dairy,Amul Milk (1L),123,206.75,High Demand,4.0
2025-12-26,Mumbai - Andheri,Dairy,Amul Milk (1L),113,487.43,In Stock,3.9
2025-12-27,Mumbai - Andheri,Dairy,Amul Milk (1L),170,237.31,In Stock,4.5
2025-12-28,Mumbai - Andheri,Dairy,Amul Milk (1L),169,117.42,High Demand,3.9
2025-12-29,Mumbai - Andheri,Dairy,Amul Milk (1L),59,282.9,Restocked,4.3
2025-12-30,Mumbai - Andheri,Dairy,Amul Milk (1L),63,343.78,High Demand,3.6
2025-12-31,Mumbai - Andheri,Dairy,Amul Milk (1L),68,252.35,Restocked,3.7
2026-01-01,Mumbai - Andheri,Dairy,Amul Milk (1L),85,459.86,High Demand,5.0
2026-01-02,Mumbai - Andheri,Dairy,Amul Milk (1L),76,64.8,High Demand,4.0
2026-01-03,Mumbai - Andheri,Dairy,Amul Milk (1L),120,81.22,In Stock,4.4
2026-01-04,Mumbai - Andheri,Dairy,Amul Milk (1L),112,397.92,In Stock,3.6
2026-01-05,Mumbai - Andheri,Dairy,Amul Milk (1L),76,342.86,Restocked,4.9
2026-01-06,Mumbai - Andheri,Dairy,Amul Milk (1L),71,422.57,In Stock,4.2
2026-01-07,Mumbai - Andheri,Dairy,Amul Milk (1L),64,242.66,In Stock,3.9
2026-01-08,Mumbai - Andheri,Dairy,Amul Milk (1L),68,87.69,High Demand,4.7
